dataset_id,pid
CMIP6.PMIP.NCC.NorESM1-F.midHolocene.r1i1p1f1.Amon.ts.gn.v20190920,hdl:21.14100/e3098428-d43d-3b01-af88-ca9fbcfca309
CMIP6.PMIP.NCC.NorESM1-F.midHolocene.r1i1p1f1.Amon.evspsbl.gn.v20190920,hdl:21.14100/5780b6b2-7083-36d6-ba85-0a831da611b4
CMIP6.PMIP.NCC.NorESM1-F.midHolocene.r1i1p1f1.Omon.tos.gn.v20190920,hdl:21.14100/ac212162-404f-38e5-ae2d-ac7a71631c4a
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.SImon.siconc.gr.v20200128,hdl:21.14100/156f3640-608e-3351-bd8a-284e0b9f702c
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Amon.rsdt.gr.v20191216,hdl:21.14100/d805e9f8-fdb4-3d30-bce1-9a0cc10eaee8
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Amon.tas.gr.v20191216,hdl:21.14100/016c32c4-ad22-3b71-a75a-1138f5015091
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Amon.rlut.gr.v20191216,hdl:21.14100/ff368d2a-cad7-323c-b714-c99b4dd3241e
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Amon.pr.gr.v20191216,hdl:21.14100/4adabb54-82c9-33d9-8bf3-7d07da4d0aee
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Amon.ts.gr.v20191216,hdl:21.14100/1fd79b2f-033b-3614-81cc-fda685edd59c
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Amon.rsut.gr.v20191216,hdl:21.14100/1572a2e4-1fb8-3c9e-837e-b722d196b1d7
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Amon.evspsbl.gr.v20191216,hdl:21.14100/6d46aacb-de02-3e8a-ae16-93e654da0f76
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Amon.rlutcs.gr.v20191216,hdl:21.14100/c40e1614-5170-321d-8617-cec146cb4979
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Amon.rsds.gr.v20191216,hdl:21.14100/4cc33cbd-7639-315e-bf6f-889be05dc3ce
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Amon.rsutcs.gr.v20191216,hdl:21.14100/5de6aaf7-1966-3e39-abbd-d4db1f7bc7d0
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Amon.prsn.gr.v20191216,hdl:21.14100/8482dc3c-3cfd-3198-b862-9f3e588f538c
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Lmon.mrsos.gr.v20191218,hdl:21.14100/2eb7cd56-c098-30b6-86e3-922ca9703144
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Lmon.mrso.gr.v20191218,hdl:21.14100/0055265b-902f-310e-814e-bb149fdbfc70
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Lmon.mrro.gr.v20191218,hdl:21.14100/b8da7211-407f-36e1-8f0f-c09409b6ccb2
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.piControl.r1i1p1f1.Lmon.mrros.gr.v20191218,hdl:21.14100/489e0ec5-39eb-3536-a10f-3606b9714b98
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.SImon.sithick.gr.v20200127,hdl:21.14100/c5f5fbe0-8627-3ecd-8a89-15ec734d25c1
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.SImon.siconc.gr.v20200127,hdl:21.14100/d605cb03-3a19-360e-8c9b-f24784e0491f
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.sos.gr.v20200127,hdl:21.14100/23c08420-1f65-3a48-ae61-93578fd280a2
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.hfds.gr.v20200127,hdl:21.14100/781ca80a-b32b-3c63-aeec-39c21fc8806f
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.so.gr.v20200127,hdl:21.14100/adf15225-a15b-31ea-86c7-e4e91a758a46
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.volo.gr.v20200127,hdl:21.14100/329e5071-866b-34eb-a636-23cd8d124410
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.masscello.gr.v20200127,hdl:21.14100/498941c6-5841-3f21-b795-f05fb9d90bea
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.zos.gr.v20200127,hdl:21.14100/810e5838-395b-3c91-bdf0-7aec868f319d
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.mlotst.gr.v20200127,hdl:21.14100/7f3aba67-6d95-3fd5-8b75-107b7391c9c5
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.msftmz.gr.v20200127,hdl:21.14100/d4846f97-540b-3ec9-9a79-d078fc2ea53e
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.tauuo.gr.v20200127,hdl:21.14100/7b43b31c-40f6-33d2-b9b2-4f5f5676acd1
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.vo.gr.v20200127,hdl:21.14100/d71169c8-00a8-31bb-bcbe-62a4cf8dc986
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.masso.gr.v20200127,hdl:21.14100/70043601-b088-3f0a-8e45-9734f95d75b8
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.thetao.gr.v20200127,hdl:21.14100/b5c5ba70-24ec-30b8-a120-e79948a7a81b
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.thetaoga.gr.v20200127,hdl:21.14100/c6790af8-ec10-37cb-a99c-32ed0c624368
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.tauvo.gr.v20200127,hdl:21.14100/868ff2c9-21da-3b18-8790-3d4d7bf09b0a
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.uo.gr.v20200127,hdl:21.14100/7fd59d7b-c41f-322e-ac0c-e176a7474454
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Omon.tos.gr.v20200127,hdl:21.14100/14c231df-126c-38ca-84c0-1de8d08136ff
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.rlus.gr.v20200127,hdl:21.14100/8a9b31bb-1719-3c57-bb08-91d2634795ea
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.rsdt.gr.v20200127,hdl:21.14100/08cfd78a-f9e2-35d7-a7b1-d03f67b3bde6
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.tas.gr.v20200127,hdl:21.14100/d648911e-2ec9-31f3-9725-eea2a7581fc1
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.tauu.gr.v20200127,hdl:21.14100/febe7a3b-1639-3aac-b7e8-bb9f89aeac41
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.psl.gr.v20200127,hdl:21.14100/6fe4175e-fcdc-3ccd-9e17-abdac46e57ba
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.huss.gr.v20200127,hdl:21.14100/2f675b56-0405-341d-92e7-ecf78485fdab
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.rlut.gr.v20200127,hdl:21.14100/a0c3ebf8-d91a-39b8-8fbf-fc3f9186c61f
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.pr.gr.v20200127,hdl:21.14100/30cd818b-5ab4-35c8-a6b0-905d8876bb9d
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.ts.gr.v20200127,hdl:21.14100/c363ba09-8ed8-3c32-be71-48c6e7ba72ac
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.hfls.gr.v20200127,hdl:21.14100/5a701be8-5e23-34a4-acb0-260ba472ef2f
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.rsut.gr.v20200127,hdl:21.14100/2414c42c-7c87-3fa2-a0ed-919f1a00a8d6
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.rlds.gr.v20200127,hdl:21.14100/e8997087-1733-37cf-a56b-3dee4e572b50
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.tauv.gr.v20200127,hdl:21.14100/4323530f-bce3-3edc-8b9d-6b17bdb805fa
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.rtmt.gr.v20200127,hdl:21.14100/410d5124-c324-32a6-8d54-7b266bca410a
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.evspsbl.gr.v20200127,hdl:21.14100/31bbd57f-0ccb-323b-94bb-66cacfc7f1fe
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.rlutcs.gr.v20200127,hdl:21.14100/a60286ed-3249-3afb-ac05-43024235c525
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.hfss.gr.v20200127,hdl:21.14100/772b8d07-0ae2-3ddf-b04f-387bb92b68c9
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.rsds.gr.v20200127,hdl:21.14100/73bcb1cb-7bc5-3a57-813c-d32496cae004
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.clt.gr.v20200127,hdl:21.14100/ae9f32ba-9dd7-3d9e-b42d-14ad9b3eadbc
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.rsus.gr.v20200127,hdl:21.14100/bc581ef0-0c28-38f4-b17c-be02147099ca
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.rsutcs.gr.v20200127,hdl:21.14100/56857ea4-f6e3-345a-ba34-fdd6de5be3ab
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.prw.gr.v20200127,hdl:21.14100/486847a3-8a7b-3971-909d-dfc87bc26116
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.ps.gr.v20200127,hdl:21.14100/84edc0eb-a5fc-3e3f-a13d-fcc77ad246de
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Amon.prsn.gr.v20200127,hdl:21.14100/3029c063-c80e-3253-b7c4-4204956b6094
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.AERmon.od550aer.gr.v20200127,hdl:21.14100/d840335f-6c6b-318d-96e1-81c7567026a6
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.AERmon.abs550aer.gr.v20200127,hdl:21.14100/855036d0-e403-327e-8c66-213d5a55314d
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Lmon.tsl.gr.v20200128,hdl:21.14100/0bf0b99e-fb6e-390a-955e-41c632265645
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Lmon.cVeg.gr.v20200128,hdl:21.14100/77aad5d5-a73a-3aed-b2b4-ecf69c4b89ed
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Lmon.mrsos.gr.v20200128,hdl:21.14100/5573c2a3-0983-378e-ae23-aa86220ab9d0
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Lmon.mrso.gr.v20200128,hdl:21.14100/fef28514-4bc7-3c46-ac12-41953fe91d01
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Lmon.mrro.gr.v20200128,hdl:21.14100/9e1aaf6e-ad33-380a-b934-f1c551c4e544
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Lmon.ra.gr.v20200128,hdl:21.14100/e65833ec-9f47-303b-9d47-83fd20cfe120
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Lmon.lai.gr.v20200128,hdl:21.14100/c08df5a7-af4a-3b19-849b-db672064be5b
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Lmon.mrros.gr.v20200128,hdl:21.14100/38b63a52-01f8-3b89-9080-33d083dff105
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Lmon.gpp.gr.v20200128,hdl:21.14100/b1116d14-aa26-3b8b-b475-f6df9f13c4d7
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Lmon.nbp.gr.v20200128,hdl:21.14100/93204801-0b0e-3ec4-bc34-1af6a03d658e
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Lmon.cProduct.gr.v20200128,hdl:21.14100/f12261b4-caa8-305e-bb32-8e1da26e29b5
CMIP6.CMIP.E3SM-Project.E3SM-1-1-ECA.historical.r1i1p1f1.Lmon.rh.gr.v20200128,hdl:21.14100/35f1b554-3cbc-366b-90e5-a5e923f15d42
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.SImon.siconc.gr.v20191114,hdl:21.14100/73b1acfb-79b9-3150-a7b0-a2037a295e60
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Amon.rsdt.gr.v20191029,hdl:21.14100/af2b49cc-e176-3898-83ab-f9234f6ac761
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Amon.tas.gr.v20191029,hdl:21.14100/518d2726-85d2-33f2-aa48-7cb04c068e32
