ImonGre.rlds	W m-2	-	-	-	-	-	-	-	-
ImonGre.rlus	W m-2	-	-	-	-	-	-	-	-
ImonGre.rsds	W m-2	-	-	-	-	-	-	-	-
ImonGre.rsus	W m-2	-	-	-	-	-	-	-	-
ImonGre.sbl	kg m-2 s-1	-	-	-	-	-	-	-	-
ImonGre.snc	%	-	-	-	-	-	-	-	-
ImonGre.snm	kg m-2 s-1	-	-	-	-	-	-	-	-
ImonGre.tas	K	-	-	-	-	-	-	-	-
ImonGre.ts	K	-	-	-	-	-	-	-	-
ImonGre.tsn	K	-	-	-	-	-	-	-	-
LImon.acabfIs	kg m-2 s-1	-	-	-	-	-	-	-	-
LImon.sbl	kg m-2 s-1	-	-	-	-	-	-	-	-
LImon.sftflf	%	-	-	-	-	-	-	-	-
LImon.sftgif	%	-	-	-	-	-	-	-	-
LImon.sftgrf	%	-	-	-	-	-	-	-	-
LImon.snc	%	-	-	-	-	-	-	-	-
LImon.snd	m	-	-	-	-	-	-	-	-
LImon.snm	kg m-2 s-1	-	-	-	-	-	-	-	-
LImon.snw	kg m-2	-	-	-	-	-	-	-	-
LImon.tpf	m	-	-	-	-	-	-	-	-
LImon.tsn	K	-	-	-	-	-	-	-	-
Lmon.burntFractionAll	%	-	-	-	-	-	-	-	-
Lmon.cCwd	kg m-2	-	-	-	-	-	-	-	-
Lmon.cLeaf	kg m-2	-	-	-	-	-	-	-	-
Lmon.cLitterAbove	kg m-2	-	-	-	-	-	-	-	-
Lmon.cLitterBelow	kg m-2	-	-	-	-	-	-	-	-
Lmon.cProduct	kg m-2	-	-	-	-	-	-	-	-
Lmon.cRoot	kg m-2	-	-	-	-	-	-	-	-
Lmon.cSoilFast	kg m-2	-	-	-	-	-	-	-	-
Lmon.cSoilMedium	kg m-2	-	-	-	-	-	-	-	-
Lmon.cSoilSlow	kg m-2	-	-	-	-	-	-	-	-
Lmon.cVeg	kg m-2	-	-	-	-	-	-	-	-
Lmon.gpp	kg m-2 s-1	-	-	-	-	-	-	-	-
Lmon.lai	1	-	-	-	-	-	-	-	-
Lmon.landCoverFrac	%	-	-	-	-	-	-	-	-
Lmon.mrro	kg m-2 s-1	-	-	-	-	-	-	-	-
Lmon.mrros	kg m-2 s-1	-	-	-	-	-	-	-	-
Lmon.mrso	kg m-2	-	-	-	-	-	-	-	-
Lmon.mrsos	kg m-2	-	-	-	-	-	-	-	-
Lmon.nbp	kg m-2 s-1	-	-	-	-	-	-	-	-
Lmon.ra	kg m-2 s-1	-	-	-	-	-	-	-	-
Lmon.rh	kg m-2 s-1	-	-	-	-	-	-	-	-
Lmon.tsl	K	-	-	-	-	-	-	-	-
Oday.tos	degC	-	-	-	-	-	-	-	-
Ofx.deptho	m	-	-	-	-	-	-	-	-
Omon.bigthetao	degC	-	-	-	-	-	-	-	-
Omon.bigthetaoga	degC	-	-	-	-	-	-	-	-
Omon.fgco2	kg m-2 s-1	-	-	-	-	-	-	-	-
Omon.hfds	W m-2	-	-	-	-	-	-	-	-
Omon.masscello	kg m-2	-	-	-	-	-	-	-	-
Omon.masso	kg	-	-	-	-	-	-	-	-
Omon.mfo	kg s-1	-	-	-	-	-	-	-	-
